,time,price,market_caps,total_volumes,Circulating supply
1503,2022-10-03 00:00:00,7.137727565879193,3524589538.655691,323132721.37213445,493797151.28165555
1504,2022-10-04 00:00:00,7.327874977209216,3605424864.466788,371346576.5385411,492015062.44036597
1505,2022-10-05 00:00:00,7.732247511944696,3814749797.4246387,519527596.14714664,493355882.8182431
1506,2022-10-06 00:00:00,7.875275079237057,3877584283.814225,497476475.30302095,492374456.1046976
1507,2022-10-07 00:00:00,7.6372798621751805,3754311465.05466,328338708.49530846,491577044.81257427
1508,2022-10-08 00:00:00,7.619455174579591,3749260638.783429,354397876.8559896,492064137.51102585
1509,2022-10-09 00:00:00,7.4492010756367595,3661550228.1255407,178223626.65922728,491535963.51438946
1510,2022-10-10 00:00:00,7.6182481104107165,3736850384.683202,197426732.4468014,490513085.22974056
1511,2022-10-11 00:00:00,7.418821029878706,3657596862.837817,340275972.85494834,493015918.3119716
1512,2022-10-12 00:00:00,7.121684498991562,3496702308.3395405,362655956.84750026,490993712.06835645
1513,2022-10-13 00:00:00,7.147271475254349,3513516513.0317497,210611641.09676477,491588506.91434175
1514,2022-10-14 00:00:00,7.042741474165234,3459696595.8551826,596545167.5609397,491242878.72078335
1515,2022-10-15 00:00:00,6.89716518947868,3386891153.040808,338924527.8685074,491055536.58586586
1516,2022-10-16 00:00:00,6.888786600142642,3390991705.226079,208138675.8653578,492248040.4830459
1517,2022-10-17 00:00:00,7.173480643868255,3521511094.3559065,260943998.66893858,490906892.9273577
1518,2022-10-18 00:00:00,7.345867878405776,3615029931.1593676,271333356.1641435,492117472.16231084
1519,2022-10-19 00:00:00,7.126706682706941,3503405523.2165666,279844368.4154874,491588286.0336643
1520,2022-10-20 00:00:00,6.775757027676106,3329827300.2854705,256632464.46069136,491432512.512555
1521,2022-10-21 00:00:00,6.66086860296138,3274525548.99949,317710160.54328233,491606387.12249273
1522,2022-10-22 00:00:00,6.81392411298691,3349688456.7426023,340853964.34767,491594623.1861179
1523,2022-10-23 00:00:00,6.871912784532574,3381283630.2468433,174187135.1747815,492044025.625223
1524,2022-10-24 00:00:00,7.060859855271935,3469018628.7507133,252248310.63816983,491302575.02003783
1525,2022-10-25 00:00:00,6.903363002756089,3393477125.2859564,272024206.708667,491568692.5243753
1526,2022-10-26 00:00:00,7.078655797689723,3477592790.021048,422359167.1233476,491278696.0422681
1527,2022-10-27 00:00:00,7.160029129538918,3514853937.4076495,379721614.5494354,490899390.7450757
1528,2022-10-28 00:00:00,6.910976691607234,3401432477.6579976,361128804.28343076,492178259.23052734
1529,2022-10-29 00:00:00,7.11153001095724,3495614157.5994225,290972079.7936233,491541785.27173215
1530,2022-10-30 00:00:00,7.58478947174479,3726143528.979865,559233812.0837573,491265254.34366614
1531,2022-10-31 00:00:00,7.780460235024698,3821504873.2886724,639463525.4369992,491166943.58075356
1532,2022-11-01 00:00:00,7.858932152116739,3857243187.768043,703974504.7474579,490810088.84001195
1533,2022-11-02 00:00:00,7.695995287078952,3770290162.206415,402423427.57998866,489902867.86381924
1534,2022-11-03 00:00:00,7.433056169697635,3654143578.5867696,697910809.7978415,491607152.5846433
1535,2022-11-04 00:00:00,7.702782839831695,3782493954.754338,667680936.0156661,491055509.8599904
1536,2022-11-05 00:00:00,8.748372186740076,4305539132.660924,1019312595.4097776,492153173.2711187
1537,2022-11-06 00:00:00,8.664875415198418,4264924287.5130363,661085904.8278949,492208379.59565437
1538,2022-11-07 00:00:00,8.119558742123061,3992704263.4010725,517571265.1753279,491739069.84470934
