,time,price,market_caps,total_volumes,Circulating supply
573,2020-03-17 00:00:00,110.99159845334059,12178760413.015514,11161656313.89003,109726867.46317385
574,2020-03-18 00:00:00,117.21704138518466,12991193734.51619,10514054745.732649,110830247.72674546
575,2020-03-19 00:00:00,117.7004246469663,12900856057.87349,9829287702.00789,109607557.46267399
576,2020-03-20 00:00:00,136.81187578973578,15068113354.89011,13910341816.437582,110137466.26826517
577,2020-03-21 00:00:00,131.96469397290025,14451395504.502293,16267979993.668526,109509559.4846753
578,2020-03-22 00:00:00,131.94321845316688,14575207631.098148,12633534610.010733,110465757.93716602
579,2020-03-23 00:00:00,122.5205987665882,13499834314.773163,10177508398.873247,110184201.27452573
580,2020-03-24 00:00:00,135.58865798037067,14944699607.313162,11596650460.730272,110220868.24900003
581,2020-03-25 00:00:00,138.77657127268222,15385255695.77982,12119249137.978954,110863494.85857606
582,2020-03-26 00:00:00,136.23392142176775,15020580578.564753,10616935307.838089,110255804.29460303
583,2020-03-27 00:00:00,138.76693759902926,15277363230.972204,7749490793.658535,110093682.94280984
584,2020-03-28 00:00:00,130.2865618875773,14958737456.74538,10183491264.54011,114814123.88219357
585,2020-03-29 00:00:00,131.42405214081145,14468066254.835968,11067855577.856102,110086898.2439719
586,2020-03-30 00:00:00,125.31887451568916,13819843925.360764,7718875104.828544,110277434.09577623
587,2020-03-31 00:00:00,132.36373895414985,14615131244.892355,8469234427.790874,110416427.94598727
588,2020-04-01 00:00:00,133.2364468438201,14699970260.177477,7869741296.803818,110329948.06150001
589,2020-04-02 00:00:00,136.21638557312852,14896572551.520117,7848601147.336895,109359622.84451315
590,2020-04-03 00:00:00,141.4537053523866,15522802609.007648,13645052823.766476,109737688.17393336
591,2020-04-04 00:00:00,141.26154326644877,15597757554.270603,11621521038.709623,110417578.58223292
592,2020-04-05 00:00:00,144.200802681986,15898519073.894499,9863619646.24454,110252639.22390488
593,2020-04-06 00:00:00,142.8508834648482,15770466064.128725,8271697077.94318,110398099.62399998
594,2020-04-07 00:00:00,169.85504979336824,18679968361.111393,15337221519.354977,109975937.62349671
595,2020-04-08 00:00:00,164.5160197107307,18166748814.85624,16711178690.848326,110425409.31150001
596,2020-04-09 00:00:00,172.80356826747519,19089126835.76443,12116309211.63937,110467202.88910466
597,2020-04-10 00:00:00,170.09510352387568,18787453383.948494,11971791025.372421,110452640.87400001
598,2020-04-11 00:00:00,157.74015800780134,17375118634.991734,14135915530.589357,110150255.04242499
599,2020-04-12 00:00:00,158.32787794181905,17489565908.771362,11128989594.360977,110464222.322226
600,2020-04-13 00:00:00,158.8638257195104,17790409219.818943,13002801329.50846,111985275.05707717
601,2020-04-14 00:00:00,156.70135879140688,17316641314.145325,13286483792.048328,110507282.43650001
602,2020-04-15 00:00:00,158.26715118298955,17559917949.258163,11468431211.774742,110951121.6825737
603,2020-04-16 00:00:00,153.2228636800284,16933905371.155535,8578826590.313573,110518136.55250694
604,2020-04-17 00:00:00,171.7759907508837,18989526634.23506,17430629608.3789,110548200.3115
605,2020-04-18 00:00:00,170.445890477055,18844786940.26037,15220772945.895311,110561697.24900001
606,2020-04-19 00:00:00,187.14354411560592,20686869606.075146,14284812698.801844,110540118.8367794
607,2020-04-20 00:00:00,180.05859654051866,19894212517.443478,13763176713.456295,110487435.19983326
608,2020-04-21 00:00:00,170.70405868653958,18894679854.84961,15901061387.704433,110686763.98342425
609,2020-04-22 00:00:00,170.45154288047368,18883297426.60788,12178214643.078756,110783963.04015552
610,2020-04-23 00:00:00,182.2767576620704,20165266729.19022,14853382137.991045,110629939.8115
611,2020-04-24 00:00:00,184.59370248021838,20371607313.859978,6903118239.477871,110359167.40465759
612,2020-04-25 00:00:00,187.34336861419638,20756708748.58927,13419651870.125168,110795001.19021764
613,2020-04-26 00:00:00,194.11423682570447,21449928671.504494,14452583265.899439,110501573.82719138
614,2020-04-27 00:00:00,197.22990444623989,21798344583.464844,13530756223.951258,110522512.51993354
615,2020-04-28 00:00:00,196.46262535084685,21715118585.744934,17659706480.60195,110530532.44588198
616,2020-04-29 00:00:00,197.15473156634306,21824818237.698734,14644384537.090769,110698932.07383983
617,2020-04-30 00:00:00,215.54817266567386,23796586177.48911,20966892392.04868,110400315.0813012
618,2020-05-01 00:00:00,205.55600541063674,22894189506.373463,23630952297.4432,111376894.39254288
619,2020-05-02 00:00:00,211.96829534904975,23540629181.114624,17137878522.355497,111057312.33225279
620,2020-05-03 00:00:00,213.94301121407548,23700169401.049606,14287655444.044804,110777955.61797886
621,2020-05-04 00:00:00,210.02470947464775,23254687127.813503,16158461349.767452,110723577.17328776
622,2020-05-05 00:00:00,206.8325342346069,22819858077.111965,17901489283.101368,110330118.81596808
623,2020-05-06 00:00:00,205.22517973985205,22740460359.466698,14345915703.711891,110807359.93650001
624,2020-05-07 00:00:00,200.25479450009442,22529347281.111214,18128961143.16994,112503410.1548095
625,2020-05-08 00:00:00,212.29247620086525,23678773321.927563,15142506242.294548,111538448.02075493
626,2020-05-09 00:00:00,211.68904835113835,23476076684.66088,18337241719.88773,110898872.03668672
627,2020-05-10 00:00:00,210.4318181376063,23328821609.133904,15514402336.324596,110861664.43649998
628,2020-05-11 00:00:00,188.13722615896586,20859785783.852856,19756507796.247448,110875376.49900003
629,2020-05-12 00:00:00,185.67471809740294,20616754314.258286,18768379406.38769,111036949.59398274
630,2020-05-13 00:00:00,189.30578181851274,20993946147.950317,13706747451.019007,110899656.34582251
631,2020-05-14 00:00:00,199.36937254304945,22169692740.7452,13403589148.76194,111199089.69948803
632,2020-05-15 00:00:00,203.21124699378416,22562017222.46954,18153298514.018234,111027404.02532773
633,2020-05-16 00:00:00,194.27309778153102,21656663418.09443,13130818660.241241,111475359.50885148
634,2020-05-17 00:00:00,200.58339090310048,22256509489.004852,11676763398.063229,110958885.42315409
635,2020-05-18 00:00:00,206.76889403683904,22938430778.9383,13449821514.26736,110937531.90386301
636,2020-05-19 00:00:00,214.35764164526782,23793534838.638046,13342260442.297512,110999237.79723723
637,2020-05-20 00:00:00,213.68672021176667,23656360817.218487,10220660537.90651,110705807.05143814
638,2020-05-21 00:00:00,209.9207882888633,23303624068.60854,10429639020.80288,111011511.81150001
639,2020-05-22 00:00:00,198.9175157507187,22089212414.442772,8110302356.370864,111047095.73250823
640,2020-05-23 00:00:00,206.22772963994552,22960218146.427925,10636959193.321962,111334291.39967906
641,2020-05-24 00:00:00,206.4112069583191,22943289960.014706,8524288901.148943,111153315.25893202
642,2020-05-25 00:00:00,200.69072858230618,22417907964.48714,10782742329.00735,111703754.94099236
643,2020-05-26 00:00:00,203.81011834234977,22639118588.39778,9317131818.625378,111079463.43650001
644,2020-05-27 00:00:00,200.96361540675866,22325672542.330963,8593529312.403248,111093107.56150003
645,2020-05-28 00:00:00,207.84589389085414,23085068545.910442,8773050350.183073,111068196.31487681
646,2020-05-29 00:00:00,219.59156405880168,24328143646.44253,12329460719.291054,110788152.31685314
647,2020-05-30 00:00:00,220.49116734603788,24504031642.684784,10335270102.499737,111133846.93650001
648,2020-05-31 00:00:00,242.70977026782677,27012940828.466957,13546265992.193748,111297294.70164536
