,time,price,market_caps,total_volumes,Circulating supply
0,2018-08-22 00:00:00,6467.271730309675,111399689881.15749,5658517103.312642,17225144.469973166
1,2018-08-23 00:00:00,6336.6563271087025,109149076720.34018,6759411527.692144,17225027.06252066
2,2018-08-24 00:00:00,6521.065718268509,112327439428.77159,6096332849.286637,17225319.339151986
3,2018-08-25 00:00:00,6684.379144206679,115177527171.81319,6913767387.863615,17230848.92209279
4,2018-08-26 00:00:00,6736.036057516459,116073397012.0424,5280060347.564506,17231706.603250884
5,2018-08-27 00:00:00,6728.2880026290095,115406552890.99017,5215045899.16829,17152439.498115458
6,2018-08-28 00:00:00,6911.096028949572,118546009735.9248,5444349729.346103,17152997.04118607
7,2018-08-29 00:00:00,7075.9834051051,121992306938.18849,6246602891.545194,17240332.53811405
8,2018-08-30 00:00:00,7046.748947280631,121479639297.29665,5976493148.705724,17239104.189198643
9,2018-08-31 00:00:00,7024.14510718162,121103237785.70247,6587864491.268964,17240993.165400896
10,2018-09-01 00:00:00,7027.631279401852,121186316787.30235,5959884320.762271,17244262.251279775
11,2018-09-02 00:00:00,7211.270767868822,124380655386.09407,6257915213.839819,17248091.132605303
12,2018-09-03 00:00:00,7305.272801003753,125994361368.72597,6640164154.549976,17247043.99148711
13,2018-09-04 00:00:00,7260.897516647864,125200923805.39091,4511643009.568316,17243174.623843525
14,2018-09-05 00:00:00,7359.462992923027,126949626755.787,5344233220.454348,17249849.19115209
15,2018-09-06 00:00:00,6764.926773778225,116602093876.15263,7036065651.078336,17236268.44389775
16,2018-09-07 00:00:00,6498.2796126096555,112034863191.16696,6558109770.577363,17240695.97955861
17,2018-09-08 00:00:00,6397.81887024023,110396118506.89438,4422971841.981781,17255274.140442982
18,2018-09-09 00:00:00,6181.19445075213,106668555553.51491,3851077568.004001,17256948.701967373
19,2018-09-10 00:00:00,6260.764806062476,108219061918.52274,4174629547.594032,17285278.28001639
20,2018-09-11 00:00:00,6308.135474616629,108846231385.41852,4504626593.565221,17254897.556243993
21,2018-09-12 00:00:00,6278.917069628559,108449181464.89592,5001529025.0324745,17271956.33614435
22,2018-09-13 00:00:00,6330.574238022664,109298582014.21779,5026516732.831187,17265192.36718672
23,2018-09-14 00:00:00,6486.461630393616,112124461661.13242,4987196751.843109,17285920.745410837
24,2018-09-15 00:00:00,6500.01225461663,112334356298.05247,5350596522.1363,17282176.078709245
25,2018-09-16 00:00:00,6530.221146234664,112796085614.54744,4295951323.506035,17272935.033691138
26,2018-09-17 00:00:00,6506.248493217292,112373562206.64603,4715407407.2624035,17271637.0
27,2018-09-18 00:00:00,6250.121727322729,107960190646.44861,4600931272.400568,17273294.08233684
28,2018-09-19 00:00:00,6347.069255451608,109629673484.58704,4472798160.224327,17272487.359488666
29,2018-09-20 00:00:00,6383.753841158382,110292032124.89343,5380977505.120019,17276987.0
30,2018-09-21 00:00:00,6491.885242276883,112172960507.04015,5059042419.562756,17278950.0
31,2018-09-22 00:00:00,6753.8344721403255,116710823191.41154,5931455399.756281,17280675.692133933
32,2018-09-23 00:00:00,6747.032172960024,116607568773.97198,5159534298.571353,17282794.239710066
33,2018-09-24 00:00:00,6711.029451815934,116001860055.71248,4322794079.140574,17285255.695655394
34,2018-09-25 00:00:00,6596.187313045577,114024650850.04753,4626497701.607775,17286448.282712627
35,2018-09-26 00:00:00,6441.311544542553,111360852966.35107,4580781824.213022,17288537.0
36,2018-09-27 00:00:00,6462.795635292239,111760801180.65999,3788299697.410916,17292949.907057725
37,2018-09-28 00:00:00,6704.704245729721,115905890382.87775,4690261094.515134,17287248.793516748
38,2018-09-29 00:00:00,6634.765964572905,114768551691.0015,3140320712.2600975,17298055.77224899
39,2018-09-30 00:00:00,6606.073795422076,114265552573.72394,2294291064.4914503,17297044.52482933
40,2018-10-01 00:00:00,6626.037956098487,114617564007.79602,1908960742.721659,17298054.247078992
41,2018-10-02 00:00:00,6598.841259755177,114225251470.51224,1893760872.9018476,17309895.32467555
42,2018-10-03 00:00:00,6524.60769791521,112814709079.4464,2035903501.1612606,17290650.151348375
43,2018-10-04 00:00:00,6499.262379115219,112545036630.82414,2247969611.1974277,17316586.10867554
44,2018-10-05 00:00:00,6578.701809284849,113846158429.54834,2059404665.1894457,17305262.0
45,2018-10-06 00:00:00,6621.189363919919,114567814410.76247,1840911129.5584166,17303207.643488284
46,2018-10-07 00:00:00,6589.124681678888,114021329402.35275,1464404365.51708,17304472.88687524
47,2018-10-08 00:00:00,6584.832153052514,113962679824.78195,1499424737.458561,17306846.579521783
48,2018-10-09 00:00:00,6653.089450830426,115167647222.33853,2081626437.4631693,17310401.14122673
49,2018-10-10 00:00:00,6633.745729917172,114837789505.01476,1741398466.9025888,17311153.33334439
50,2018-10-11 00:00:00,6582.455082387102,113987017102.36557,2070407901.7011054,17316793.760942552
51,2018-10-12 00:00:00,6234.367641454442,108155761830.83029,3581191342.767335,17348313.10102177
52,2018-10-13 00:00:00,6285.592982799844,108845285496.56729,2295615181.287238,17316629.599532776
53,2018-10-14 00:00:00,6314.883384422573,109372673141.74013,1851879464.8516304,17319824.687742997
54,2018-10-15 00:00:00,6328.554760034424,109624316973.41199,1847113723.7353718,17322172.459611565
55,2018-10-16 00:00:00,6659.87550840943,115236573309.55287,6217858944.018429,17303112.22244974
56,2018-10-17 00:00:00,6635.125667516839,114960968517.5375,2746546151.2501135,17326117.73735418
57,2018-10-18 00:00:00,6635.741832487943,114953321633.49261,2820354466.330306,17323356.534260027
58,2018-10-19 00:00:00,6517.511087710534,112970698851.37468,2625598930.5728407,17333411.072271597
59,2018-10-20 00:00:00,6483.827769471798,112394945004.92676,2652532021.929972,17334659.247755274
60,2018-10-21 00:00:00,6532.678750383806,113214078424.96126,2387105749.143392,17330421.830142763
61,2018-10-22 00:00:00,6529.670021370842,113208108538.70485,2127987152.5866547,17337493.03842124
62,2018-10-23 00:00:00,6512.589059298922,112905904007.05743,2655159954.716826,17336562.0
63,2018-10-24 00:00:00,6472.799660641591,112227883463.22098,2784381146.568883,17338383.59707503
64,2018-10-25 00:00:00,6481.443589558082,112363064964.16649,2607022301.561287,17336117.087432314
65,2018-10-26 00:00:00,6458.191521836801,112010056845.21841,2618534041.346836,17343873.508006644
66,2018-10-27 00:00:00,6468.826424965618,112200801079.02803,2698016930.8820057,17344846.45406518
67,2018-10-28 00:00:00,6457.058635186671,111998326691.92026,2383295890.5582404,17345099.838741425
68,2018-10-29 00:00:00,6481.323141667608,112422008134.01062,2065446088.788402,17345533.570339013
69,2018-10-30 00:00:00,6292.6479239344,109167179052.3813,3631795693.013341,17348369.139986124
70,2018-10-31 00:00:00,6331.781807909807,109890575608.10541,1962209613.9889975,17355395.20184154
71,2018-11-01 00:00:00,6366.720109554257,110487418903.24472,2042670545.032488,17353899.182318557
72,2018-11-02 00:00:00,6379.972972168429,110896563654.92197,2922702484.006447,17381980.164914455
73,2018-11-03 00:00:00,6425.4415830402095,111528929052.5205,2675454291.399585,17357395.22508434
74,2018-11-04 00:00:00,6388.1897883073725,110888814023.684,2582446886.6230755,17358409.455312274
75,2018-11-05 00:00:00,6351.061941056285,110241536216.1873,3198297931.7470818,17357968.98838816
76,2018-11-06 00:00:00,6415.443408541094,111383003826.06792,3213571991.0860043,17361700.0
77,2018-11-07 00:00:00,6474.847290336688,112347500910.42685,3408876943.8566713,17351374.615135495
78,2018-11-08 00:00:00,6574.801180290013,113943582818.14384,3120683820.785003,17330346.529675264
79,2018-11-09 00:00:00,6490.454730761757,112723294658.02623,2402484611.4646854,17367549.630039
80,2018-11-10 00:00:00,6413.78203857173,111440702127.79549,2707057000.4786224,17375193.21012224
81,2018-11-11 00:00:00,6429.898792074219,111308110603.00995,1672332107.6089764,17311020.624494635
82,2018-11-12 00:00:00,6434.2845969255495,111773252086.90735,2943678893.5684266,17371512.0
83,2018-11-13 00:00:00,6411.353436205148,111385885801.71518,2651674690.982871,17373225.0
84,2018-11-14 00:00:00,6394.289276264062,111126759494.65367,2890964719.217386,17379063.519563
85,2018-11-15 00:00:00,5788.612494046974,100585460320.22012,5690409836.804629,17376437.000000004
86,2018-11-16 00:00:00,5686.541131058274,98829079080.72421,4981978552.514329,17379471.422610104
87,2018-11-17 00:00:00,5609.956182334204,97344067023.98213,3236633357.0467114,17352019.13528654
88,2018-11-18 00:00:00,5599.1915956893035,97299989131.4034,2525819291.4931545,17377506.63976431
89,2018-11-19 00:00:00,5638.861481452398,98118875508.37688,2422604400.7507744,17400476.289604556
90,2018-11-20 00:00:00,4889.197859239111,85228342224.35999,6126269575.232113,17431968.32652295
91,2018-11-21 00:00:00,4450.711454417822,76601948314.49545,6314969584.020993,17211169.29259918
92,2018-11-22 00:00:00,4613.44841218385,80360705527.42929,4321511764.357207,17418793.567779217
93,2018-11-23 00:00:00,4307.388731717267,75518575145.29533,3055231902.513544,17532333.357613545
94,2018-11-24 00:00:00,4376.904946801552,76120308175.56718,3520222575.53617,17391355.10155242
